Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4166837,WHS3_41,COUNTRY,VEN,AMR,YEAR,Americas,,,2015,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4167390,WHS3_41,COUNTRY,SYR,EMR,YEAR,Eastern Mediterranean,,,2011,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4169158,WHS3_41,COUNTRY,GBR,EUR,YEAR,Europe,,,2007,,,,,,,3,3.0,,,,2025-07-14T16:36:19.017+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4170794,WHS3_41,COUNTRY,VEN,AMR,YEAR,Americas,,,1980,,,,,,,31,31.0,,,,2025-07-14T16:36:19.017+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
4172595,WHS3_41,COUNTRY,SYR,EMR,YEAR,Eastern Mediterranean,,,1985,,,,,,,400,400.0,,,,2025-07-14T16:36:19.017+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
4172646,WHS3_41,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,1983,,,,,,,20,20.0,,,,2025-07-14T16:36:19.017+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
4175879,WHS3_41,COUNTRY,JAM,AMR,YEAR,Americas,,,2021,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
4176103,WHS3_41,COUNTRY,SUR,AMR,YEAR,Americas,,,1976,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
4177176,WHS3_41,COUNTRY,NIC,AMR,YEAR,Americas,,,1975,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
4177446,WHS3_41,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,,1984,,,,,,,58,58.0,,,,2025-07-14T16:36:19.017+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
4178887,WHS3_41,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,1974,,,,,,,82,82.0,,,,2025-07-14T16:36:19.017+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
4179489,WHS3_41,COUNTRY,ALB,EUR,YEAR,Europe,,,1997,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
4180445,WHS3_41,COUNTRY,COK,WPR,YEAR,Western Pacific,,,2011,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4182447,WHS3_41,COUNTRY,KEN,AFR,YEAR,Africa,,,1979,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
4183140,WHS3_41,COUNTRY,ZWE,AFR,YEAR,Africa,,,1998,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
